record_id,month,year,AverageTemperature,AverageTemperatureUncertainty,City,country_id,Country,Latitude,Longitude
474629,02,1874,19.060999999999996,1.2630000000000012,Auckland,NEW,New Zealand,36.17S,175.03E
474630,03,1874,18.513999999999996,1.4129999999999991,Auckland,NEW,New Zealand,36.17S,175.03E
474631,04,1874,16.134,1.0020000000000016,Auckland,NEW,New Zealand,36.17S,175.03E
474632,05,1874,14.339000000000002,1.0630000000000015,Auckland,NEW,New Zealand,36.17S,175.03E
474633,06,1874,12.310999999999998,1.3020000000000012,Auckland,NEW,New Zealand,36.17S,175.03E
474634,07,1874,11.217000000000002,0.7489999999999992,Auckland,NEW,New Zealand,36.17S,175.03E
474635,08,1874,12.110999999999999,0.5700000000000018,Auckland,NEW,New Zealand,36.17S,175.03E
474636,09,1874,12.738000000000003,0.4709999999999997,Auckland,NEW,New Zealand,36.17S,175.03E
474637,10,1874,12.758,0.5679999999999986,Auckland,NEW,New Zealand,36.17S,175.03E
474638,11,1874,15.013000000000002,0.6870000000000016,Auckland,NEW,New Zealand,36.17S,175.03E
474639,12,1874,16.6,0.9539999999999991,Auckland,NEW,New Zealand,36.17S,175.03E
474640,01,1875,18.099999999999998,0.9129999999999998,Auckland,NEW,New Zealand,36.17S,175.03E
474641,02,1875,19.388999999999996,1.2310000000000008,Auckland,NEW,New Zealand,36.17S,175.03E
474642,03,1875,17.96,0.7740000000000001,Auckland,NEW,New Zealand,36.17S,175.03E
474643,04,1875,17.362000000000002,1.0569999999999997,Auckland,NEW,New Zealand,36.17S,175.03E
474644,05,1875,14.552000000000001,0.7909999999999999,Auckland,NEW,New Zealand,36.17S,175.03E
474645,06,1875,12.935,0.9840000000000002,Auckland,NEW,New Zealand,36.17S,175.03E
474646,07,1875,12.422,0.8840000000000003,Auckland,NEW,New Zealand,36.17S,175.03E
474647,08,1875,11.279,0.47799999999999915,Auckland,NEW,New Zealand,36.17S,175.03E
474648,09,1875,11.549000000000001,0.614000000000002,Auckland,NEW,New Zealand,36.17S,175.03E
474649,10,1875,13.237,0.603,Auckland,NEW,New Zealand,36.17S,175.03E
474650,11,1875,14.330999999999998,1.0079999999999996,Auckland,NEW,New Zealand,36.17S,175.03E
474651,12,1875,17.591,0.9219999999999986,Auckland,NEW,New Zealand,36.17S,175.03E
474652,01,1876,18.537999999999997,0.9800000000000016,Auckland,NEW,New Zealand,36.17S,175.03E
474653,02,1876,18.995,0.9439999999999986,Auckland,NEW,New Zealand,36.17S,175.03E
474654,03,1876,18.629,0.9890000000000003,Auckland,NEW,New Zealand,36.17S,175.03E
474655,04,1876,16.629,0.9530000000000014,Auckland,NEW,New Zealand,36.17S,175.03E
474656,05,1876,14.603999999999997,0.6600000000000014,Auckland,NEW,New Zealand,36.17S,175.03E
474657,06,1876,12.806999999999999,1.4009999999999994,Auckland,NEW,New Zealand,36.17S,175.03E
474658,07,1876,12.166999999999998,1.0659999999999985,Auckland,NEW,New Zealand,36.17S,175.03E
474659,08,1876,11.792,0.8119999999999984,Auckland,NEW,New Zealand,36.17S,175.03E
474660,09,1876,12.532999999999998,0.44200000000000017,Auckland,NEW,New Zealand,36.17S,175.03E
474661,10,1876,14.711,0.8130000000000001,Auckland,NEW,New Zealand,36.17S,175.03E
474662,11,1876,16.021,1.0720000000000003,Auckland,NEW,New Zealand,36.17S,175.03E
474663,12,1876,16.529000000000003,1.4310000000000005,Auckland,NEW,New Zealand,36.17S,175.03E
474664,01,1877,18.091,1.3959999999999992,Auckland,NEW,New Zealand,36.17S,175.03E
474665,02,1877,18.605999999999995,1.5430000000000001,Auckland,NEW,New Zealand,36.17S,175.03E
474666,03,1877,18.317999999999998,0.7629999999999981,Auckland,NEW,New Zealand,36.17S,175.03E
474667,04,1877,15.521999999999998,1.2739999999999994,Auckland,NEW,New Zealand,36.17S,175.03E
474668,05,1877,13.672,0.7489999999999992,Auckland,NEW,New Zealand,36.17S,175.03E
474669,06,1877,12.346,1.5639999999999985,Auckland,NEW,New Zealand,36.17S,175.03E
474670,07,1877,10.949,0.6750000000000019,Auckland,NEW,New Zealand,36.17S,175.03E
474671,08,1877,11.711,1.0020000000000016,Auckland,NEW,New Zealand,36.17S,175.03E
474672,09,1877,11.914,0.6659999999999991,Auckland,NEW,New Zealand,36.17S,175.03E
474673,10,1877,13.665999999999999,0.8539999999999992,Auckland,NEW,New Zealand,36.17S,175.03E
